Date,Open,High,Low,Close,Volume,Adj_Close,open_diff,high_diff,low_diff,close_diff,vol_diff,,,,,,,,,,
5/5/78,95.93,97.44,95.56,96.53,42680000,96.53,-0.003428215,0.010473919,0.010468436,0.006254561,0.137526652,,,,,,,,,,
5/4/78,96.26,96.43,94.57,95.93,37520000,95.93,-0.010179949,-0.012088925,-0.013251252,-0.003428215,-0.001064963,,,,,,,,,,
5/3/78,97.25,97.61,95.84,96.26,37560000,96.26,-0.004300195,-0.00509632,-0.006221485,-0.010179949,-0.092753623,,,,,,,,,,
5/2/78,97.67,98.11,96.44,97.25,41400000,97.25,0.008674997,-0.001932859,0.000311171,-0.004300195,0.118314425,,,,,,,,,,
5/1/78,96.83,98.3,96.41,97.67,37020000,97.67,0.010118923,0.012358393,0.012284754,0.008674997,0.126940639,,,,,,,,,,
4/28/78,95.86,97.1,95.24,96.83,32850000,96.83,-0.009915307,0.001753843,-0.000629591,0.010118923,-0.073865238,,,,,,,,,,
4/27/78,96.82,96.93,95.3,95.86,35470000,95.86,0.001862583,-0.008388747,-0.006877866,-0.009915307,-0.201665541,,,,,,,,,,
4/26/78,96.64,97.75,95.96,96.82,44430000,96.82,0.006142634,-0.001634154,-0.000937012,0.001862583,-0.203763441,,,,,,,,,,
4/25/78,96.05,97.91,96.05,96.64,55800000,96.64,0.018125927,0.019895833,0.020939626,0.009084264,0.616922631,,,,,,,,,,
4/24/78,94.34,96,94.08,95.77,34510000,95.77,-0.002115507,0.009569881,0.003948351,0.015157939,0.094166138,,,,,,,,,,
4/21/78,94.54,95.09,93.71,94.34,31540000,94.34,0.006065766,-0.006477902,-0.00276684,-0.002115507,-0.270414064,,,,,,,,,,
4/20/78,93.97,95.71,93.97,94.54,43230000,94.54,0.005779728,0.013018628,0.013153639,0.007244833,0.233029093,,,,,,,,,,
4/19/78,93.43,94.48,92.75,93.86,35060000,93.86,-0.010799365,-0.002533784,-0.001292129,0.004602376,-0.09987163,,,,,,,,,,
4/18/78,94.45,94.72,92.87,93.43,38950000,93.43,0.009081197,-0.012201481,-0.007799145,-0.010799365,-0.386710754,,,,,,,,,,
4/17/78,93.6,95.89,93.6,94.45,63510000,94.45,0.024070022,0.02764977,0.024070022,0.016465777,0.214804897,,,,,,,,,,
4/14/78,91.4,93.31,91.4,92.92,52280000,92.92,0.014315836,0.022351265,0.017590737,0.021323368,0.655478151,,,,,,,,,,
4/13/78,90.11,91.27,89.82,90.98,31580000,90.98,-0.001551247,0.005397665,0.001896263,0.009654866,0.204883632,,,,,,,,,,
4/12/78,90.25,90.78,89.65,90.11,26210000,90.11,-0.002652227,-0.000110144,-0.001336749,-0.001551247,0.078600823,,,,,,,,,,
4/11/78,90.49,90.79,89.77,90.25,24300000,90.25,0.003548852,-0.000990317,0.000445782,-0.002652227,-0.055944056,,,,,,,,,,
4/10/78,90.17,90.88,89.73,90.49,25740000,90.49,0.004232097,0.003201236,0.003803557,0.003548852,0.023052464,,,,,,,,,,
4/7/78,89.79,90.59,89.39,90.17,25160000,90.17,0.00167336,0.001437099,0.000895756,0.004232097,-0.080409357,,,,,,,,,,
4/6/78,89.64,90.46,89.31,89.79,27360000,89.79,0.008777853,0.006117228,0.007786053,0.00167336,0.003668379,,,,,,,,,,
4/5/78,88.86,89.91,88.62,89.64,27260000,89.64,0.004521818,0.008185692,0.005217786,0.008777853,0.354197715,,,,,,,,,,
4/4/78,88.46,89.18,88.16,88.86,20130000,88.86,-0.008295964,-0.000224215,0.001021914,0.004521818,-0.004943154,,,,,,,,,,
4/3/78,89.2,89.2,88.07,88.46,20230000,88.46,-0.002348731,-0.004908523,-0.006878665,-0.008407129,0.00496771,,,,,,,,,,
3/31/78,89.41,89.64,88.68,89.21,20130000,89.21,-0.002565819,-0.002781177,-0.003259526,-0.002236886,-0.016129032,,,,,,,,,,
3/30/78,89.64,89.89,88.97,89.41,20460000,89.41,0.001564246,-0.003105246,-0.001907112,-0.002565819,-0.196070727,,,,,,,,,,
3/29/78,89.5,90.17,89.14,89.64,25450000,89.64,0.007089006,0.004567736,0.007573189,0.001564246,0.178240741,,,,,,,,,,
3/28/78,88.87,89.76,88.47,89.5,21600000,89.5,-0.005483438,0.002905028,-0.000451926,0.007089006,0.144674086,,,,,,,,,,
3/27/78,89.36,89.5,88.51,88.87,18870000,88.87,-0.001229462,-0.004449388,-0.003602387,-0.005483438,-0.113668389,,,,,,,,,,
3/23/78,89.47,89.9,88.83,89.36,21290000,89.36,-0.003563871,-0.001887421,-0.001797955,-0.001229462,-0.030068337,,,,,,,,,,
3/22/78,89.79,90.07,88.99,89.47,21950000,89.47,-0.011341114,-0.010871953,-0.005698324,-0.003563871,-0.10077837,,,,,,,,,,
3/21/78,90.82,91.06,89.5,89.79,24410000,89.79,0.006873614,-0.003174603,-0.006659267,-0.011341114,-0.139280677,,,,,,,,,,
3/20/78,90.2,91.35,90.1,90.82,28360000,90.82,0.007708636,0.009169244,0.010429517,0.006873614,-0.003863716,,,,,,,,,,
3/17/78,89.51,90.52,89.17,90.2,28470000,90.2,0.004376122,0.008354684,0.006660646,0.007708636,0.120866142,,,,,,,,,,
3/16/78,89.12,89.77,88.58,89.51,25400000,89.51,-0.002574147,0.000445782,0.000677813,0.004376122,0.088260497,,,,,,,,,,
3/15/78,89.35,89.73,88.52,89.12,23340000,89.12,0.004496908,0.001227405,0.003514341,-0.002574147,-0.039506173,,,,,,,,,,
3/14/78,88.95,89.62,88.21,89.35,24300000,89.35,0.000787579,-0.001670937,-0.003051537,0.004496908,0.009555463,,,,,,,,,,
3/13/78,88.88,89.77,88.48,88.95,24070000,88.95,0.01126408,0.005826331,0.007515372,0.000787579,-0.111480251,,,,,,,,,,
3/10/78,87.89,89.25,87.82,88.88,27090000,88.88,0.000569217,0.008588541,0.005495764,0.01126408,0.24152154,,,,,,,,,,
3/9/78,87.84,88.49,87.34,87.89,21820000,87.89,0.005494505,0.004654859,0.004254341,0.000569217,-0.009532456,,,,,,,,,,
3/8/78,87.36,88.08,86.97,87.84,22030000,87.84,0.005293441,0.005135228,0.004852686,0.005494505,0.107035176,,,,,,,,,,
3/7/78,86.9,87.63,86.55,87.36,19900000,87.36,-0.006289308,0.001256856,0.000809436,0.005293441,0.154962275,,,,,,,,,,
3/6/78,87.45,87.52,86.48,86.9,17230000,86.9,0.001488777,-0.005228461,-0.004030865,-0.006289308,-0.143638171,,,,,,,,,,
3/3/78,87.32,87.98,86.83,87.45,20120000,87.45,0.001490997,0.001935998,0.00161495,0.001488777,-0.007889546,,,,,,,,,,
3/2/78,87.19,87.81,86.69,87.32,20280000,87.32,0.001723346,0.002054091,0.002776171,0.001490997,-0.034745359,,,,,,,,,,
3/1/78,87.04,87.63,86.45,87.19,21010000,87.19,-0.007751938,-0.001481313,-0.001501502,0.001723346,0.063797468,,,,,,,,,,
2/28/78,87.72,87.76,86.58,87.04,19750000,87.04,-0.008701548,-0.01360009,-0.010401189,-0.007751938,-0.012006003,,,,,,,,,,
2/27/78,88.49,88.97,87.49,87.72,19990000,87.72,0.009468401,0.001125239,-0.001939311,-0.008701548,-0.111950244,,,,,,,,,,
2/24/78,87.66,88.87,87.66,88.49,22510000,88.49,0.001142074,0.010805278,0.009558908,0.009698768,0.202457265,,,,,,,,,,
2/23/78,87.56,87.92,86.83,87.64,18720000,87.64,-0.000342505,-0.002609189,-0.004128914,0.000913659,0.014634146,,,,,,,,,,
2/22/78,87.59,88.15,87.19,87.56,18450000,87.56,-0.004206457,-0.000453566,0.001148237,-0.000342505,-0.157149383,,,,,,,,,,
2/21/78,87.96,88.19,87.09,87.59,21890000,87.59,-0.001362398,-0.005749718,-0.00525414,-0.004206457,0.183243243,,,,,,,,,,
2/17/78,88.08,88.7,87.55,87.96,18500000,87.96,-0.007772896,-0.000788555,-0.001026928,-0.001362398,-0.142327306,,,,,,,,,,
